regency_city,year,total_population,number_of_poor_people,poverty_percentage,school_participation_rate,sanitation_access_percent,drinking_water_access_percent,proper_housing_percent,unemployment_rate,gdp_per_capita,population_density,hdi
Kota Mojokerto,2024,,,,29.55,,,,3.76,62683.9,,81.76
Kota Madiun,2020,,,,35.39,,,,8.32,69463.1,,80.91
Kota Madiun,2021,,,,36.79,,,,8.15,73502.0,,81.25
Kota Madiun,2022,,,,72.92,,,,6.39,79816.6,,82.01
Kota Madiun,2023,,,,33.44,,,,5.85,86285.0,,82.71
Kota Madiun,2024,,,,31.18,,,,4.3,92449.2,,84.51
Kota Surabaya,2020,2874300.0,,,48.93,91.84,98.74,,9.79,193009.9,8200.0,82.23
Kota Surabaya,2021,,152.49,5.23,48.41,95.2,98.06,,9.68,204410.6,,82.31
Kota Surabaya,2022,2887220.0,138.21,4.72,63.0,96.41,95.66,,7.62,226080.4,8595.0,82.74
Kota Surabaya,2023,,,,40.33,,,,6.76,245684.8,,83.45
Kota Surabaya,2024,,,,42.46,,,,4.91,264371.9,,84.69
Kota Batu,2020,213000.0,,,38.62,93.2,99.02,,5.93,74883.6,1558.0,75.9
Kota Batu,2021,,8.63,4.09,39.27,95.57,100.0,,6.57,78330.9,,76.28
Kota Batu,2022,216740.0,8.05,3.79,80.27,94.37,99.12,,8.43,85413.5,1116.0,77.22
Kota Batu,2023,,,,38.0,,,,4.52,93214.3,,78.18
Kota Batu,2024,,,,36.33,,,,3.63,99487.2,,79.69
